Paper Name,Paper Author,Paper Key Words,Issue Date
"Strike Three: Discrimination, Incentives, and Evaluation",Christopher A. Parsons;Johan Sulaeman;Michael C. Yates;Daniel S. Hamermesh,J15 Economics of Minorities and Races; Non-labor Discrimination;J31 Wage Level and Structure; Wage Differentials;J44 Professional Labor Markets; Occupational Licensing;J71 Labor Discrimination;L83 Sports; Gambling; Recreation; Tourism,"June 2011 (Vol. 101, No.4 )"
The Inflation-Output Trade-Off with Downward Wage Rigidities,Pierpaolo Benigno;Luca Antonio Ricci,E23 Macroeconomics: Production;E24 Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital;E31 Price Level; Inflation; Deflation;E63 Comparative or Joint Analysis of Fiscal and Monetary Policy; Stabilization; Treasury Policy,"June 2011 (Vol. 101, No.4 )"
Education and Labor Market Discrimination,Kevin Lang;Michael Manove,I21 Analysis of Education;J15 Economics of Minorities and Races; Non-labor Discrimination;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;J31 Wage Level and Structure; Wage Differentials;J71 Labor Discrimination,"June 2011 (Vol. 101, No.4 )"
Face Value,Catherine C. Eckel;Ragan Petrie,D12 Consumer Economics: Empirical Analysis;D83 Search; Learning; Information and Knowledge; Communication; Belief;Z13 Economic Sociology; Economic Anthropology; Social and Economic Stratification,"June 2011 (Vol. 101, No.4 )"
Term Premia and Inflation Uncertainty: Empirical Evidence from an International Panel Dataset,Jonathan H. Wright,"E31 Price Level; Inflation; Deflation;E43 Interest Rates: Determination, Term Structure, and Effects;E52 Monetary Policy;G12 Asset Pricing; Trading volume; Bond Interest Rates;H63 National Debt; Debt Management; Sovereign Debt","June 2011 (Vol. 101, No.4 )"
"Asymmetric Information, Adverse Selection and Online Disclosure: The Case of eBay Motors",Gregory Lewis,D44 Auctions;D82 Asymmetric and Private Information;L81 Retail and Wholesale Trade; e-Commerce,"June 2011 (Vol. 101, No.4 )"
Ambiguity Models and the Machina Paradoxes,Aurlien Baillon;Olivier L'Haridon;Laetitia Placido,D81 Criteria for Decision-Making under Risk and Uncertainty,"June 2011 (Vol. 101, No.4 )"
Optimal Policy Intervention and the Social Value of Public Information,Jonathan G. James;Phillip Lawler,D82 Asymmetric and Private Information;D83 Search; Learning; Information and Knowledge; Communication; Belief;E52 Monetary Policy;E58 Central Banks and Their Policies,"June 2011 (Vol. 101, No.4 )"
Why Do Payment Card Networks Charge Proportional Fees?,Oz Shy;Zhu Wang,E42 Monetary Systems; Standards; Regimes; Government and the Monetary System; Payment Systems;G21 Banks; Other Depository Institutions; Micro Finance Institutions; Mortgages;G28 Financial Institutions and Services: Government Policy and Regulation,"June 2011 (Vol. 101, No.4 )"
Information and Prices with Capacity Constraints,Benjamin Lester,"D11 Consumer Economics: Theory;D83 Search; Learning; Information and Knowledge; Communication; Belief;L11 Production, Pricing, and Market Structure; Size Distribution of Firms","June 2011 (Vol. 101, No.4 )"
Group Size and Incentives to Contribute: A Natural Experiment at Chinese Wikipedia,Xiaoquan (Michael) Zhang;Feng Zhu,H41 Public Goods;L17 Open Source Products and Markets;L82 Entertainment; Media,"June 2011 (Vol. 101, No.4 )"
Fertility and the Personal Exemption: Comment,Richard Crump;Gopi Shah Goda;Kevin J. Mumford,H24 Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes;J13 Fertility; Family Planning; Child Care; Children; Youth,"June 2011 (Vol. 101, No.4 )"
Returns to Education: Evidence from UK Twins: Comment,Vikesh Amin,I21 Analysis of Education;J16 Economics of Gender; Non-labor Discrimination;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;J31 Wage Level and Structure; Wage Differentials,"June 2011 (Vol. 101, No.4 )"
Corrigendum: Psychological Pressure in Competitive Environments: Evidence from a Randomized Natural Experiment,Jose Apesteguia;Ignacio Palacios-Huerta,C93 Field Experiments;D03 Behavioral Economics: Underlying Principles;D82 Asymmetric and Private Information;L83 Sports; Gambling; Recreation; Tourism,"June 2011 (Vol. 101, No.4 )"
The Long Slump,Robert E. Hall,E23 Macroeconomics: Production;E24 Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital;E31 Price Level; Inflation; Deflation;E32 Business Fluctuations; Cycles;E65 Studies of Particular Policy Episodes,"April 2011 (Vol. 101, No.2 )"
Reference Points and Effort Provision,Johannes Abeler;Armin Falk;Lorenz Goette;David Huffman,D12 Consumer Economics: Empirical Analysis;D84 Expectations; Speculations;J22 Time Allocation and Labor Supply,"April 2011 (Vol. 101, No.2 )"
Contracts as Reference PointsExperimental Evidence,Ernst Fehr;Oliver Hart;Christian Zehnder,D44 Auctions;D86 Economics of Contract: Theory;J41 Labor Contracts,"April 2011 (Vol. 101, No.2 )"
"The Economics of Credence Goods: An Experiment on the Role of Liability, Verifiability, Reputation, and Competition",Uwe Dulleck;Rudolf Kerschbamer;Matthias Sutter,D12 Consumer Economics: Empirical Analysis;D82 Asymmetric and Private Information,"April 2011 (Vol. 101, No.2 )"
"Performance Pay and Multidimensional Sorting: Productivity, Preferences, and Gender",Thomas Dohmen;Armin Falk,"C91 Design of Experiments: Laboratory, Individual;D81 Criteria for Decision-Making under Risk and Uncertainty;D82 Asymmetric and Private Information;J16 Economics of Gender; Non-labor Discrimination;J31 Wage Level and Structure; Wage Differentials","April 2011 (Vol. 101, No.2 )"
Are Risk Preferences Stable across Contexts? Evidence from Insurance Data,Levon Barseghyan;Jeffrey Prince;Joshua C. Teitelbaum,D11 Consumer Economics: Theory;D83 Search; Learning; Information and Knowledge; Communication; Belief,"April 2011 (Vol. 101, No.2 )"
Collaborating,Alessandro Bonatti;Johannes Hrner,D81 Criteria for Decision-Making under Risk and Uncertainty;D82 Asymmetric and Private Information;D83 Search; Learning; Information and Knowledge; Communication; Belief,"April 2011 (Vol. 101, No.2 )"
Heterogeneity in Risky Choice Behavior in a Broad Population,Hans-Martin von Gaudecker;Arthur van Soest;Erik Wengstrom,D12 Consumer Economics: Empirical Analysis;D81 Criteria for Decision-Making under Risk and Uncertainty,"April 2011 (Vol. 101, No.2 )"
The Rich Domain of Uncertainty: Source Functions and Their Experimental Implementation,Mohammed Abdellaoui;Aurlien Baillon;Laetitia Placido;Peter P. Wakker,D81 Criteria for Decision-Making under Risk and Uncertainty,"April 2011 (Vol. 101, No.2 )"
Procedural Analysis of Choice Rules with Applications to Bounded Rationality,Yuval Salant,D01 Microeconomic Behavior: Underlying Principles;D03 Behavioral Economics: Underlying Principles;D11 Consumer Economics: Theory;D83 Search; Learning; Information and Knowledge; Communication; Belief,"April 2011 (Vol. 101, No.2 )"
The Bidder's Curse,Ulrike Malmendier;Young Han Lee,D12 Consumer Economics: Empirical Analysis;D44 Auctions,"April 2011 (Vol. 101, No.2 )"
Falsifiability,Wojciech Olszewski;Alvaro Sandroni,B41 Economic Methodology,"April 2011 (Vol. 101, No.2 )"
Deferred Compensation in Multiperiod Labor Contracts: An Experimental Test of Lazear's Model,Steffen Huck;Andrew J. Seltzer;Brian Wallace,D86 Economics of Contract: Theory;J22 Time Allocation and Labor Supply;J31 Wage Level and Structure; Wage Differentials;J33 Compensation Packages; Payment Methods;J41 Labor Contracts,"April 2011 (Vol. 101, No.2 )"
Sales and Monetary Policy,Bernardo Guimaraes;Kevin D. Sheedy,"E13 General Aggregative Models: Neoclassical;E31 Price Level; Inflation; Deflation;E52 Monetary Policy;L11 Production, Pricing, and Market Structure; Size Distribution of Firms;L25 Firm Performance: Size, Diversification, and Scope;L81 Retail and Wholesale Trade; e-Commerce;M31 Marketing","April 2011 (Vol. 101, No.2 )"
The Cyclical Behavior of Debt and Equity Finance,Francisco Covas;Wouter J. Den Haan,"E32 Business Fluctuations; Cycles;G32 Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure;L11 Production, Pricing, and Market Structure; Size Distribution of Firms;L25 Firm Performance: Size, Diversification, and Scope","April 2011 (Vol. 101, No.2 )"
Search Dynamics in Consumer Choice under Time Pressure: An Eye-Tracking Study,Elena Reutskaja;Rosemarie Nagel;Colin F. Camerer;Antonio Rangel,"C91 Design of Experiments: Laboratory, Individual;D12 Consumer Economics: Empirical Analysis;M31 Marketing","April 2011 (Vol. 101, No.2 )"
Coordination in the Presence of Asset Markets,Shimon Kogan;Anthony M. Kwasnica;Roberto A. Weber,"C91 Design of Experiments: Laboratory, Individual;D83 Search; Learning; Information and Knowledge; Communication; Belief;G13 Contingent Pricing; Futures Pricing; option pricing;G14 Information and Market Efficiency; Event Studies","April 2011 (Vol. 101, No.2 )"
Real-Time Search in the Laboratory and the Market,Meta Brown;Christopher J. Flinn;Andrew Schotter,"C91 Design of Experiments: Laboratory, Individual;D83 Search; Learning; Information and Knowledge; Communication; Belief;J64 Unemployment: Models, Duration, Incidence, and Job Search","April 2011 (Vol. 101, No.2 )"
Checkmate: Exploring Backward Induction among Chess Players,Steven D. Levitt;John A. List;Sally E. Sadoff,C73 Stochastic and Dynamic Games; Evolutionary Games; Repeated Games,"April 2011 (Vol. 101, No.2 )"
"The Willingness to PayWillingness to Accept Gap, the ""Endowment Effect,"" Subject Misconceptions, and Experimental Procedures for Eliciting Valuations: Comment",Andrea Isoni;Graham Loomes;Robert Sugden,"C91 Design of Experiments: Laboratory, Individual;D12 Consumer Economics: Empirical Analysis;D81 Criteria for Decision-Making under Risk and Uncertainty;D83 Search; Learning; Information and Knowledge; Communication; Belief","April 2011 (Vol. 101, No.2 )"
"The Willingness to PayWillingness to Accept Gap, the ""Endowment Effect,"" Subject Misconceptions, and Experimental Procedures for Eliciting Valuations: Reply",Charles R. Plott;Kathryn Zeiler,"C91 Design of Experiments: Laboratory, Individual","April 2011 (Vol. 101, No.2 )"
Stationary Concepts for Experimental 2 X 2 Games: Comment,Christoph Brunner;Colin F. Camerer;Jacob K. Goeree,C70 Game Theory and Bargaining Theory: General,"April 2011 (Vol. 101, No.2 )"
Stationary Concepts for Experimental 2 X 2 Games: Reply,Reinhard Selten;Thorsten Chmura;Sebastian J. Goerg,C70 Game Theory and Bargaining Theory: General,"April 2011 (Vol. 101, No.2 )"
100 Years of the American Economic Review: The Top 20 Articles,Kenneth J. Arrow;B. Douglas Bernheim;Martin S. Feldstein;Daniel L. McFadden;James M. Poterba;Robert M. Solow,B10 History of Economic Thought through 1925: General;B20 History of Economic Thought since 1925: General,"February 2011 (Vol. 101, No.1 )"
The Economic History of the American Economic Review: A Century's Explosion of Economics Research,Robert A. Margo,A14 Sociology of Economics;B19 History of Economic Thought through 1925: Other;B29 History of Economic Thought since 1925: Other,"February 2011 (Vol. 101, No.1 )"
Some Unsettled Problems of Irrigation (1911),Katharine Coman,"N51 Economic History: Agriculture, Natural Resources, Environment, and Extractive Industries: U.S.; Canada: Pre-1913;Q15 Land Ownership and Tenure; Land Reform; Land Use; Irrigation; Agriculture and Environment","February 2011 (Vol. 101, No.1 )"
"Reflections on ""Some Unsettled Problems of Irrigation""",Elinor Ostrom,"B31 History of Economic Thought: Individuals;N51 Economic History: Agriculture, Natural Resources, Environment, and Extractive Industries: U.S.; Canada: Pre-1913;Q15 Land Ownership and Tenure; Land Reform; Land Use; Irrigation; Agriculture and Environment;Q25 Renewable Resources and Conservation: Water","February 2011 (Vol. 101, No.1 )"
"Institutional Path Dependence in Climate Adaptation: Coman's ""Some Unsettled Problems of Irrigation""",Gary D. Libecap,"N51 Economic History: Agriculture, Natural Resources, Environment, and Extractive Industries: U.S.; Canada: Pre-1913;Q15 Land Ownership and Tenure; Land Reform; Land Use; Irrigation; Agriculture and Environment;Q25 Renewable Resources and Conservation: Water;Q54 Climate; Natural Disasters; Global Warming","February 2011 (Vol. 101, No.1 )"
The Problem of the Commons: Still Unsettled after 100 Years,Robert N. Stavins,Q15 Land Ownership and Tenure; Land Reform; Land Use; Irrigation; Agriculture and Environment;Q21 Renewable Resources and Conservation: Demand and Supply (the Commons);Q22 Renewable Resources and Conservation: Fishery; Aquaculture;Q25 Renewable Resources and Conservation: Water;Q54 Climate; Natural Disasters; Global Warming,"February 2011 (Vol. 101, No.1 )"
Two Illustrations of the Quantity Theory of Money: Breakdowns and Revivals,Thomas J. Sargent;Paolo Surico,"C51 Model Construction and Estimation;E23 Macroeconomics: Production;E31 Price Level; Inflation; Deflation;E43 Interest Rates: Determination, Term Structure, and Effects;E51 Money Supply; Credit; Money Multipliers;E52 Monetary Policy","February 2011 (Vol. 101, No.1 )"
"Is Tiger Woods Loss Averse? Persistent Bias in the Face of Experience, Competition, and High Stakes",Devin G. Pope;Maurice E. Schweitzer,D03 Behavioral Economics: Underlying Principles;D81 Criteria for Decision-Making under Risk and Uncertainty;L83 Sports; Gambling; Recreation; Tourism,"February 2011 (Vol. 101, No.1 )"
The Effect of Female Education on Fertility and Infant Health: Evidence from School Entry Policies Using Exact Date of Birth,Justin McCrary;Heather Royer,I12 Health Production;I21 Analysis of Education;J13 Fertility; Family Planning; Child Care; Children; Youth;J16 Economics of Gender; Non-labor Discrimination,"February 2011 (Vol. 101, No.1 )"
Growing Like China,Zheng Song;Kjetil Storesletten;Fabrizio Zilibotti,"E21 Macroeconomics: Consumption; Saving; Wealth;E22 Capital; Investment; Capacity;E23 Macroeconomics: Production;L60 Industry Studies: Manufacturing: General;O16 Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance;P23 Socialist Systems and Transitional Economies: Factor and Product Markets; Industry Studies; Population;P24 Socialist Systems and Transitional Economies: National Income, Product, and Expenditure; Money; Inflation","February 2011 (Vol. 101, No.1 )"
"Reference Prices, Costs, and Nominal Rigidities",Martin Eichenbaum;Nir Jaimovich;Sergio Rebelo,"L11 Production, Pricing, and Market Structure; Size Distribution of Firms;L25 Firm Performance: Size, Diversification, and Scope;L81 Retail and Wholesale Trade; e-Commerce","February 2011 (Vol. 101, No.1 )"
Bundle-Size Pricing as an Approximation to Mixed Bundling,Chenghuan Sean Chu;Phillip Leslie;Alan Sorensen,"D24 Production; Cost; Capital, Total Factor, and Multifactor Productivity; Capacity;D42 Market Structure and Pricing: Monopoly;L11 Production, Pricing, and Market Structure; Size Distribution of Firms;L13 Oligopoly and Other Imperfect Markets;L25 Firm Performance: Size, Diversification, and Scope","February 2011 (Vol. 101, No.1 )"
"Trade Liberalization, Exports, and Technology Upgrading: Evidence on the Impact of MERCOSUR on Argentinian Firms",Paula Bustos,F13 Trade Policy; International Trade Organizations;F15 Economic Integration;O19 International Linkages to Development; Role of International Organizations;O24 Development Planning and Policy: Trade Policy; Factor Movement; Foreign Exchange Policy;O33 Technological Change: Choices and Consequences; Diffusion Processes,"February 2011 (Vol. 101, No.1 )"
"Monetary Policy, Trend Inflation, and the Great Moderation: An Alternative Interpretation",Olivier Coibion;Yuriy Gorodnichenko,E12 General Aggregative Models: Keynes; Keynesian; Post-Keynesian;E23 Macroeconomics: Production;E31 Price Level; Inflation; Deflation;E32 Business Fluctuations; Cycles;E52 Monetary Policy,"February 2011 (Vol. 101, No.1 )"
Inflation and Unemployment in the Long Run,Aleksander Berentsen;Guido Menzio;Randall Wright,"E24 Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital;E31 Price Level; Inflation; Deflation;E41 Demand for Money;E43 Interest Rates: Determination, Term Structure, and Effects;E52 Monetary Policy","February 2011 (Vol. 101, No.1 )"
"Resolving Conflicting Preferences in School Choice: The ""Boston Mechanism"" Reconsidered",Atila Abdulkadirolu;Yeon-Koo Che;Yosuke Yasuda,D82 Asymmetric and Private Information;I21 Analysis of Education;I28 Education: Government Policy,"February 2011 (Vol. 101, No.1 )"
The Evolution of Cooperation in Infinitely Repeated Games: Experimental Evidence,Pedro Dal B;Guillaume R. Frchette,C71 Cooperative Games;C73 Stochastic and Dynamic Games; Evolutionary Games; Repeated Games,"February 2011 (Vol. 101, No.1 )"
"Sudden Stops, Financial Crises, and Leverage",Enrique G. Mendoza,E21 Macroeconomics: Consumption; Saving; Wealth;E23 Macroeconomics: Production;E32 Business Fluctuations; Cycles;E44 Financial Markets and the Macroeconomy;G01 Financial Crises;O11 Macroeconomic Analyses of Economic Development;O16 Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance,"December 2010 (Vol. 100, No.5 )"
The Political Economy of the US Mortgage Default Crisis,Atif Mian;Amir Sufi;Francesco Trebbi,"D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;G21 Banks; Other Depository Institutions; Micro Finance Institutions; Mortgages;G28 Financial Institutions and Services: Government Policy and Regulation","December 2010 (Vol. 100, No.5 )"
Margins of Multinational Labor Substitution,Marc-Andreas Muendler;Sascha O. Becker,F23 Multinational Firms; International Business;J23 Labor Demand;J31 Wage Level and Structure; Wage Differentials;R32 Other Production and Pricing Analysis,"December 2010 (Vol. 100, No.5 )"
An Exploration of Technology Diffusion,Diego Comin;Bart Hobijn,"O33 Technological Change: Choices and Consequences; Diffusion Processes;O41 One, Two, and Multisector Growth Models;O47 Measurement of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence","December 2010 (Vol. 100, No.5 )"
Inherited Trust and Growth,Yann Algan;Pierre Cahuc,"N11 Economic History: Macroeconomics; Growth and Fluctuations: U.S.; Canada: Pre-1913;N12 Economic History: Macroeconomics; Growth and Fluctuations: U.S.; Canada: 1913-;N31 Economic History: Labor and Consumers, Demography, Education, Health, Welfare, Income, Wealth, Religion, and Philanthropy: U.S.; Canada: Pre-1913;N32 Economic History: Labor and Consumers, Demography, Education, Health, Welfare, Income, Wealth, Religion, and Philanthropy: U.S.; Canada: 1913-;O47 Measurement of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence;Z13 Economic Sociology; Economic Anthropology; Social and Economic Stratification","December 2010 (Vol. 100, No.5 )"
International Trade and Income Differences,Michael E. Waugh,F11 Neoclassical Models of Trade;F13 Trade Policy; International Trade Organizations;F14 Country and Industry Studies of Trade;O19 International Linkages to Development; Role of International Organizations,"December 2010 (Vol. 100, No.5 )"
Early Admissions at Selective Colleges,Christopher Avery;Jonathan Levin,C78 Bargaining Theory; Matching Theory;I23 Higher Education and Research Institutions,"December 2010 (Vol. 100, No.5 )"
The Changing Incidence of Geography,James E. Anderson;Yoto V. Yotov,F11 Neoclassical Models of Trade;F14 Country and Industry Studies of Trade;R12 Size and Spatial Distributions of Regional Economic Activity,"December 2010 (Vol. 100, No.5 )"
Is Reputation Good or Bad? An Experiment,Brit Grosskopf;Rajiv Sarin,"C91 Design of Experiments: Laboratory, Individual;D12 Consumer Economics: Empirical Analysis;D82 Asymmetric and Private Information;D83 Search; Learning; Information and Knowledge; Communication; Belief;Z13 Economic Sociology; Economic Anthropology; Social and Economic Stratification","December 2010 (Vol. 100, No.5 )"
Institutions and Behavior: Experimental Evidence on the Effects of Democracy,Pedro Dal B;Andrew Foster;Louis Putterman,"C91 Design of Experiments: Laboratory, Individual;D02 Institutions: Design, Formation, and Operations;D12 Consumer Economics: Empirical Analysis;D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior","December 2010 (Vol. 100, No.5 )"
Asymmetric Contests with Conditional Investments,Ron Siegel,"D44 Auctions;D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;D82 Asymmetric and Private Information","December 2010 (Vol. 100, No.5 )"
Social Preferences and Strategic Uncertainty: An Experiment on Markets and Contracts,Antonio Cabrales;Raffaele Miniaci;Marco Piovesan;Giovanni Ponti,D82 Asymmetric and Private Information;D86 Economics of Contract: Theory;J41 Labor Contracts,"December 2010 (Vol. 100, No.5 )"
Exploiting Navete about Self-Control in the Credit Market,Paul Heidhues;Botond Kszegi,D14 Personal Finance;D18 Consumer Protection;D49 Market Structure and Pricing: Other;D86 Economics of Contract: Theory,"December 2010 (Vol. 100, No.5 )"
"Inventories, Lumpy Trade, and Large Devaluations",George Alessandria;Joseph P. Kaboski;Virgiliu Midrigan,"D92 Intertemporal Firm Choice and Growth, Financing, Investment, and Capacity;F14 Country and Industry Studies of Trade;G31 Capital Budgeting; Fixed Investment and Inventory Studies; Capacity;L81 Retail and Wholesale Trade; e-Commerce;M11 Production Management","December 2010 (Vol. 100, No.5 )"
Do We Follow Others When We Should? A Simple Test of Rational Expectations,Georg Weizscker,D82 Asymmetric and Private Information;D83 Search; Learning; Information and Knowledge; Communication; Belief;D84 Expectations; Speculations,"December 2010 (Vol. 100, No.5 )"
Persuasion by Cheap Talk,Archishman Chakraborty;Rick Harbaugh,"D44 Auctions;D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;D82 Asymmetric and Private Information;D83 Search; Learning; Information and Knowledge; Communication; Belief;M37 Advertising","December 2010 (Vol. 100, No.5 )"
Can Higher Prices Stimulate Product Use? Evidence from a Field Experiment in Zambia,Nava Ashraf;James Berry;Jesse M. Shapiro,C93 Field Experiments;D12 Consumer Economics: Empirical Analysis;I11 Analysis of Health Care Markets;M31 Marketing;O12 Microeconomic Analyses of Economic Development,"December 2010 (Vol. 100, No.5 )"
Inheritance Law and Investment in Family Firms,Andrew Ellul;Marco Pagano;Fausto Panunzi,G31 Capital Budgeting; Fixed Investment and Inventory Studies; Capacity;G32 Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure;K22 Corporation and Securities Law;L26 Entrepreneurship;O17 Formal and Informal Sectors; Shadow Economy; Institutional Arrangements,"December 2010 (Vol. 100, No.5 )"
Binary Payment Schemes: Moral Hazard and Loss Aversion,Fabian Herweg;Daniel Muller;Philipp Weinschenk,D82 Asymmetric and Private Information;D86 Economics of Contract: Theory;J41 Labor Contracts;M12 Personnel Management; Executive Compensation;M52 Personnel Economics: Compensation and Compensation Methods and Their Effects,"December 2010 (Vol. 100, No.5 )"
"Organizational Structure, Communication, and Group Ethics",Matthew Ellman;Paul Pezanis-Christou,"C92 Design of Experiments: Laboratory, Group Behavior;D23 Organizational Behavior; Transaction Costs; Property Rights;L21 Business Objectives of the Firm;M14 Corporate Culture; Social Responsibility","December 2010 (Vol. 100, No.5 )"
Doing Well by Doing Good? Green Office Buildings,Piet Eichholtz;Nils Kok;John M. Quigley,G31 Capital Budgeting; Fixed Investment and Inventory Studies; Capacity;M14 Corporate Culture; Social Responsibility;Q52 Pollution Control Adoption Costs; Distributional Effects; Employment Effects;R33 Nonagricultural and Nonresidential Real Estate Markets,"December 2010 (Vol. 100, No.5 )"
Real Business Cycles in Emerging Countries?,Javier Garca-Cicco;Roberto Pancrazi;Martn Uribe,E13 General Aggregative Models: Neoclassical;E32 Business Fluctuations; Cycles;E44 Financial Markets and the Macroeconomy;F43 Economic Growth of Open Economies;O11 Macroeconomic Analyses of Economic Development;O16 Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance,"December 2010 (Vol. 100, No.5 )"
Negative Marginal Tax Rates and Heterogeneity,Philippe Chon;Guy Laroque,H21 Taxation and Subsidies: Efficiency; Optimal Taxation;H24 Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes;H31 Fiscal Policies and Behavior of Economic Agents: Household;J22 Time Allocation and Labor Supply,"December 2010 (Vol. 100, No.5 )"
Psychological Pressure in Competitive Environments: Evidence from a Randomized Natural Experiment,Jose Apesteguia;Ignacio Palacios-Huerta,C93 Field Experiments;D03 Behavioral Economics: Underlying Principles;D82 Asymmetric and Private Information;L83 Sports; Gambling; Recreation; Tourism,"December 2010 (Vol. 100, No.5 )"
Morally Motivated Self-Regulation,David P. Baron,D64 Altruism;H41 Public Goods;L51 Economics of Regulation,"September 2010 (Vol. 100, No.4 )"
Identifying the Elasticity of Substitution with Biased Technical Change,Miguel A. Len-Ledesma;Peter McAdam;Alpo Willman,"E22 Capital; Investment; Capacity;O33 Technological Change: Choices and Consequences; Diffusion Processes;O41 One, Two, and Multisector Growth Models","September 2010 (Vol. 100, No.4 )"
Social Comparisons and Contributions to Online Communities: A Field Experiment on MovieLens,Yan Chen;F. Maxwell Harper;Joseph Konstan;Sherry Xin Li,C93 Field Experiments;H41 Public Goods;L82 Entertainment; Media,"September 2010 (Vol. 100, No.4 )"
Are Health Insurance Markets Competitive?,Leemore S. Dafny,"G22 Insurance; Insurance Companies;I11 Analysis of Health Care Markets;I18 Health: Government Policy; Regulation; Public Health;L11 Production, Pricing, and Market Structure; Size Distribution of Firms;L25 Firm Performance: Size, Diversification, and Scope","September 2010 (Vol. 100, No.4 )"
Wage Risk and Employment Risk over the Life Cycle,Hamish Low;Costas Meghir;Luigi Pistaferri,"D91 Intertemporal Consumer Choice; Life Cycle Models and Saving;J22 Time Allocation and Labor Supply;J31 Wage Level and Structure; Wage Differentials;J61 Geographic Labor Mobility; Immigrant Workers;J64 Unemployment: Models, Duration, Incidence, and Job Search;J65 Unemployment Insurance; Severance Pay; Plant Closings","September 2010 (Vol. 100, No.4 )"
The Law of the Few,Andrea Galeotti;Sanjeev Goyal,D83 Search; Learning; Information and Knowledge; Communication; Belief;D85 Network Formation and Analysis: Theory;Z13 Economic Sociology; Economic Anthropology; Social and Economic Stratification,"September 2010 (Vol. 100, No.4 )"
Technology Capital and the US Current Account,Ellen R. McGrattan;Edward C. Prescott,F23 Multinational Firms; International Business;F32 Current Account Adjustment; Short-term Capital Movements,"September 2010 (Vol. 100, No.4 )"
Sovereign Risk and Secondary Markets,Fernando Broner;Alberto Martin;Jaume Ventura,F34 International Lending and Debt Problems;G12 Asset Pricing; Trading volume; Bond Interest Rates;G15 International Financial Markets,"September 2010 (Vol. 100, No.4 )"
Pavlovian Processes in Consumer Choice: The Physical Presence of a Good Increases Willingness-to-Pay,Benjamin Bushong;Lindsay M. King;Colin F. Camerer;Antonio Rangel,"C91 Design of Experiments: Laboratory, Individual;D03 Behavioral Economics: Underlying Principles;D12 Consumer Economics: Empirical Analysis;D87 Neuroeconomics","September 2010 (Vol. 100, No.4 )"
"Determinants of Redistributive Politics: An Empirical Analysis of Land Reforms in West Bengal, India",Pranab Bardhan;Dilip Mookherjee,"D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;O13 Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;O17 Formal and Informal Sectors; Shadow Economy; Institutional Arrangements;Q15 Land Ownership and Tenure; Land Reform; Land Use; Irrigation; Agriculture and Environment","September 2010 (Vol. 100, No.4 )"
Monopoly Price Discrimination and Demand Curvature,Iaki Aguirre;Simon Cowan;John Vickers,D42 Market Structure and Pricing: Monopoly,"September 2010 (Vol. 100, No.4 )"
Strategic Redistricting,Faruk Gul;Wolfgang Pesendorfer,"C72 Noncooperative Games;D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior","September 2010 (Vol. 100, No.4 )"
A Price Theory of Multi-sided Platforms,E. Glen Weyl,D42 Market Structure and Pricing: Monopoly;D85 Network Formation and Analysis: Theory;L14 Transactional Relationships; Contracts and Reputation; Networks,"September 2010 (Vol. 100, No.4 )"
Consumption Taxes and Redistribution,Isabel Correia,"D31 Personal Income, Wealth, and Their Distributions;H23 Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies;H25 Business Taxes and Subsidies including sales and value-added (VAT)","September 2010 (Vol. 100, No.4 )"
When Does Communication Improve Coordination?,Tore Ellingsen;Robert stling,C72 Noncooperative Games;D83 Search; Learning; Information and Knowledge; Communication; Belief,"September 2010 (Vol. 100, No.4 )"
"Kinship, Incentives, and Evolution",Ingela Alger;Jrgen W. Weibull,D13 Household Production and Intrahousehold Allocation;D64 Altruism;J12 Marriage; Marital Dissolution; Family Structure; Domestic Abuse;Z13 Economic Sociology; Economic Anthropology; Social and Economic Stratification,"September 2010 (Vol. 100, No.4 )"
